,Fecha - Hora,Atemajac,Aguilas,Centro,Las_Pintas,Loma_Dorada,Miravalle,Oblatos,Santa_Fe,Tlaquepaque,Vallarta
0,2015-01-01 00:00:00.000,43.95,37.63,36.7,102.28,90.69,102.3,39.15,109.86,134.63,
1,2015-01-01 01:00:00.000,50.04,33.46,29.31,48.79,54.57,,47.01,165.4,,7.31
2,2015-01-01 02:00:00.000,46.23,57.16,35.48,45.69,70.34,345.11,40.98,133.4,105.67,14.6
3,2015-01-01 03:00:00.000,57.83,46.11,65.9,79.29,90.53,,37.35,114.05,122.96,40.18
4,2015-01-01 04:00:00.000,56.66,59.47,69.67,,82.19,219.56,51.53,96.55,149.7,52.64
5,2015-01-01 05:00:00.000,46.52,76.85,64.54,275.09,70.14,257.8,80.82,131.6,180.49,52.89
6,2015-01-01 06:00:00.000,40.54,69.23,131.31,274.7,67.73,231.1925,93.13,131.33,187.89,58.42
7,2015-01-01 07:00:00.000,60.1,65.84,158.34,253.05,78.37,283.4,74.48,138.67,168.23,65.8
8,2015-01-01 08:00:00.000,57.22,43.46,137.62,185.564,91.83,234.92,79.1,120.08,189.27,52.96
9,2015-01-01 09:00:00.000,82.99,34.33,126.18,140.58,79.77,245.37449999999998,92.11,166.18,155.19,45.84
10,2015-01-01 10:00:00.000,92.26,42.46,69.78,82.95,49.48,103.0,64.98,118.9,94.0,67.3
11,2015-01-01 11:00:00.000,74.18,27.59,51.74,36.07,31.9,100.78,53.95,63.54,84.12,48.34
12,2015-01-01 12:00:00.000,57.25,25.26,41.29,25.36,28.19,55.58,49.18,57.28,59.7,35.32
13,2015-01-01 13:00:00.000,45.56,23.43,23.98,33.56,24.22,46.81,35.87,57.39,57.03,19.56
14,2015-01-01 14:00:00.000,30.79,29.99,27.87,34.14,23.51,43.38,28.86,64.43,45.78,23.48
15,2015-01-01 15:00:00.000,25.16,28.42,29.89,36.55,25.03,51.05,35.01,66.51,45.66,29.11
16,2015-01-01 16:00:00.000,27.51,25.47,37.86,41.45,24.08,51.2,33.43,70.68,41.94,28.21
17,2015-01-01 17:00:00.000,15.49,28.3,28.01,34.52166666666667,28.3,35.8,28.25,62.86,51.3,29.42
18,2015-01-01 18:00:00.000,42.17,30.33,34.3,93.55,47.52,51.76,26.81,77.83,54.32,28.68
19,2015-01-01 19:00:00.000,54.39,30.78,38.68,102.93,61.76,59.92,43.73,81.54,64.31,33.35
20,2015-01-01 20:00:00.000,25.12,27.8,24.78,61.46,60.84,77.35,24.22,101.2,69.96,27.37
21,2015-01-01 21:00:00.000,16.96,18.99,24.07,43.42,60.2,43.44,16.24,122.45,61.83,13.3
22,2015-01-01 22:00:00.000,12.16,11.86,16.71,31.43,27.12,32.09,12.94,83.99,44.13,10.57
23,2015-01-01 23:00:00.000,3.76,11.43,16.53,34.75,28.37,33.39,12.95,73.49,35.03,15.57
24,2015-01-02 00:00:00.000,8.71,10.83,7.59,16.31,33.95,21.09,11.46,53.45,29.13,22.86
25,2015-01-02 01:00:00.000,11.64,14.15,15.17,20.71,34.5,23.35,18.02,55.7,37.88,9.41
26,2015-01-02 02:00:00.000,9.6,22.13,14.32,24.85,30.38,30.09,13.13,54.45,30.77,12.64
27,2015-01-02 03:00:00.000,15.77,19.65,14.98,47.09,19.6,31.86,13.93,57.54,38.73,13.28
28,2015-01-02 04:00:00.000,12.93,17.67,12.93,53.72,15.16,29.19,12.36,53.5,37.17,16.77
29,2015-01-02 05:00:00.000,16.74,20.68,16.95,71.59,26.993333333333336,34.2,19.92,62.91,48.53,17.53
30,2015-01-02 06:00:00.000,25.43,26.74,33.38,79.71,26.76388888888889,59.74,38.83,80.42,59.73,24.78
31,2015-01-02 07:00:00.000,32.83,40.2,57.42,122.91,25.566203703703703,116.28,55.18,107.56,89.61,26.11
32,2015-01-02 08:00:00.000,48.03,49.31,60.78,167.72,24.077237654320985,139.64,50.35,134.1,115.25,33.71
33,2015-01-02 09:00:00.000,65.42,54.45,50.97,121.12,23.026777263374488,99.08,61.33,156.9,97.97,39.7
34,2015-01-02 10:00:00.000,70.39,46.91,43.61,102.02,23.597906807270235,79.68833333333332,64.75,106.88,93.66,42.35
35,2015-01-02 11:00:00.000,52.16,19.94,32.99,49.65,25.004224608481938,126.38,48.73,87.94,78.0,29.59
36,2015-01-02 12:00:00.000,29.96,22.14,21.77,84.9,,131.03,26.68,68.5,57.61,27.71
37,2015-01-02 13:00:00.000,23.57,20.34,25.32,93.05,,69.77,26.82,72.76,58.28,25.34
38,2015-01-02 14:00:00.000,39.32,18.66,28.38,127.37,,44.91,26.64,125.57,66.12,25.9
39,2015-01-02 15:00:00.000,27.56,21.01,28.29,100.29,43.21,43.0,31.07,119.43,75.37,27.83
40,2015-01-02 16:00:00.000,27.67,28.48,27.73,105.17,45.26,43.14,31.74,89.39,69.7,35.88
41,2015-01-02 17:00:00.000,11.97,25.09,26.78,80.19,60.14,45.72,32.99,83.35,65.16,22.94
42,2015-01-02 18:00:00.000,36.41,22.17,25.58,101.43,64.6,40.35,28.32,65.76,57.47,28.43
43,2015-01-02 19:00:00.000,38.51,22.79,26.55,93.78,58.14,48.09,27.82,65.58,49.81,28.02
44,2015-01-02 20:00:00.000,29.23,19.08,27.08,97.05,52.29,69.2,24.41,71.4,52.56,26.74
45,2015-01-02 21:00:00.000,23.52,16.43,23.8,62.57,43.12,51.91,22.74,83.1,37.8,21.39
46,2015-01-02 22:00:00.000,17.51,14.02,21.65,53.6,31.74,29.76,17.62,94.24,23.75,13.18
47,2015-01-02 23:00:00.000,17.49,13.7,19.04,35.42,29.2,24.77,16.18,96.54,27.29,12.61
48,2015-01-03 00:00:00.000,9.21,11.37,20.5,23.6,20.31,19.72,7.84,64.16,25.72,8.11
49,2015-01-03 01:00:00.000,10.61,13.42,13.19,23.38,16.56,14.19,6.9,32.04,25.06,6.47
50,2015-01-03 02:00:00.000,9.94,9.55,17.75,18.45,16.2,17.15,11.82,42.82,25.46,7.07
51,2015-01-03 03:00:00.000,25.01,10.44,17.17,19.77,14.12,1.65,18.23,53.07,25.54,7.0
52,2015-01-03 04:00:00.000,29.43,5.82,17.48,26.13,14.88,35.19,19.87,66.77,30.47,10.76
53,2015-01-03 05:00:00.000,33.97,17.67,24.65,39.0,15.22,39.33,24.17,53.62,37.1,11.4
54,2015-01-03 06:00:00.000,37.7,21.41,27.79,81.73,31.09,45.76,28.27,76.14,52.14,11.96
55,2015-01-03 07:00:00.000,35.77,20.4,48.95,109.23,66.19,47.38,40.57,118.27,99.14,26.43
56,2015-01-03 08:00:00.000,54.1,44.9,55.42,162.42,55.37,31.076666666666664,64.73,97.37,104.84,45.97
57,2015-01-03 09:00:00.000,79.85,44.81,65.09,106.46,46.4,129.57,61.79,143.77,118.0,59.34
58,2015-01-03 10:00:00.000,64.68,47.88,56.17,111.39,43.83,87.53,55.31,142.21,74.36,34.84
59,2015-01-03 11:00:00.000,42.03,40.81,36.52,63.02,65.95,76.54,36.67,113.34,42.4,27.37
60,2015-01-03 12:00:00.000,27.47,25.8,31.93,32.49,57.79,46.48,25.82,68.71,44.52,23.38
61,2015-01-03 13:00:00.000,16.93,23.02,29.64,45.81,34.86,36.28,17.86,51.12,47.12,21.58
62,2015-01-03 14:00:00.000,32.02,11.68,19.71,77.61,34.53,41.62,19.34,65.26,42.88,18.48
63,2015-01-03 15:00:00.000,19.99,11.99,18.11,49.64,34.24,33.53,14.18,68.36,40.36,10.91
64,2015-01-03 16:00:00.000,19.07,9.1,17.21,42.42,31.91,24.47,21.35,52.63,35.88,14.77
65,2015-01-03 17:00:00.000,16.84,16.55,15.09,62.91,32.78,33.48,19.31,49.51,39.57,15.21
66,2015-01-03 18:00:00.000,33.36,13.21,22.3,91.6,42.38,23.9,24.94,84.74,47.54,20.72
67,2015-01-03 19:00:00.000,44.37,24.56,22.42,69.3,36.28,42.15,27.02,70.69,48.51,19.03
68,2015-01-03 20:00:00.000,40.05,27.26,24.54,111.58,48.49,45.0,27.89,75.62,55.16,18.61
69,2015-01-03 21:00:00.000,27.39,28.16,25.6,100.47,57.92,47.79,24.05,145.03,71.63,14.09
70,2015-01-03 22:00:00.000,21.41,21.91,26.2,64.35,59.43,101.92,30.44,106.52,83.95,17.33
71,2015-01-03 23:00:00.000,23.16,25.51,21.96,110.94,63.88,60.89,23.76,93.17,65.68,18.43
72,2015-01-04 00:00:00.000,25.08,29.18,15.27,91.37333333333333,60.29,77.25,24.19,128.15,48.91,27.9
